"UNITID","SGRNT_T","IGRNT_T","LOAN_T","FLOAN_T","SCFA1N","SCFA1P","SCFA11P","SCFA12P","SCFA13P","SCFA14P","SCFY1N","SCFY1P","ANYAIDP","FGRNT_P","FGRNT_A","SGRNT_P","SGRNT_A","IGRNT_P","IGRNT_A","LOAN_P","LOAN_A","UAGRNTT","AGRNT_P","AGRNT_A","PGRNT_P","PGRNT_A","OFGRT_P","OFGRT_A","FLOAN_P","FLOAN_A","OLOAN_P","OLOAN_A","UAGRNTP","UAGRNTA","UPGRNTP","UPGRNTA","UFLOANP","UFLOANA","UAGRNTN","UFLOANT","AGRNT_T","FGRNT_T","PGRNT_T","OFGRT_T","OLOAN_T","AIDFSIP","SCFY11P","SCFY12P","SCFY13P","SCFY14P","GIS4A2","GIS4T12","GIS4A12","GIS4T22","GIS4A22","GIS4T32","GIS4A32","GIS4T42","GIS4A42","GIS4T52","GIS4A52","GRN4A2","GRN4T12","GRN4A12","GRN4T22","GRN4A22","GRN4T32","GRN4A32","GRN4T42","GRN4A42","GRN4T52","GRN4A52"
102669,20482.00,345932.00,192143.00,121729.00,38,13,,,,,,,100,50,4815,16,3414,97,9350,63,8006,2421296.00,97,12375,50,4125,29,1191,63,5072,13,14083,74,11530,31,3860,49,6937,210,950312.00,457891.00,91477.00,78377.00,13100.00,70414.00,100,,,,,,,,,,,,,,,,12256,163196.00,20400,66336.00,11056,70840.00,11807,47566.00,9513,32000.00,5333
100654,24236.00,4758249.00,10810142.00,10731012.00,1473,33,0,74,26,0,,,88,74,4809,1,1102,56,5747,75,9739,28060248.00,88,7708,74,4692,5,1865,75,9676,1,7194,81,7686,70,4617,77,10095,3651,34867639.00,10005003.00,5222518.00,5095703.00,126815.00,79130.00,88,,,,,7100,4749717.00,7624,1234224.00,7176,399887.00,5332,127325.00,3105,49422.00,3802,,,,,,,,,,,
100663,6366.00,8755939.00,5493393.00,4295645.00,1593,14,0,84,16,0,,,92,34,5318,0,1273,77,7183,50,6833,49511943.00,85,8609,34,4845,12,1441,49,5465,6,11743,59,7267,35,4390,52,7385,6813,44021443.00,11665856.00,2903551.00,2635544.00,268007.00,1197748.00,90,,,,,6209,2473828.00,8835,1021905.00,7299,638754.00,4662,465600.00,3979,491259.00,3365,,,,,,,,,,,
100690,923.00,17180.00,33497.00,33497.00,6,2,,,,,,,100,83,3870,33,462,100,2863,100,5583,1109294.00,100,6242,83,3850,17,100,100,5583,0,,88,4124,70,3352,84,9049,269,2343708.00,37453.00,19350.00,19250.00,100.00,0.00,100,,,,,,,,,,,,,,,,3225,19350.00,3225,0.00,,0.00,,0.00,,0.00,
100706,10875.00,7908099.00,2623896.00,2186697.00,1027,17,0,78,22,0,,,93,25,4683,1,837,76,10191,41,6247,29221815.00,87,10197,25,4418,4,1912,40,5295,4,9936,62,7870,29,4212,43,7088,3713,18379660.00,9136591.00,1217617.00,1148770.00,68847.00,437199.00,90,,,,,2636,681853.00,6088,226427.00,4043,131928.00,1759,16881.00,225,0.00,0,,,,,,,,,,,
100724,680431.00,1528316.00,5578842.00,5457325.00,1008,21,0,53,44,3,,,97,87,4515,10,6943,32,4806,83,6634,34670565.00,90,6831,75,5037,12,1227,82,6591,1,9347,94,7751,78,4306,81,9489,4473,36674855.00,6168645.00,3959898.00,3812632.00,147266.00,121517.00,96,,,,,4205,1764934.00,5131,410189.00,4102,97991.00,1750,4250.00,163,5775.00,340,,,,,,,,,,,
100751,54104.00,62868200.00,30352016.00,16804080.00,7176,22,0,36,64,0,,,79,18,4633,1,668,56,15538,44,9706,236126985.00,64,14883,18,4380,4,1345,42,5542,9,20940,58,12753,19,4172,40,6730,18516,86173338.00,68880719.00,5958415.00,5592662.00,365753.00,13547936.00,78,,,,,6746,3611879.00,9736,1816380.00,8409,1181446.00,5997,994068.00,4756,1199389.00,3844,,,,,,,,,,,
100760,1800.00,691188.00,443916.00,443916.00,392,22,0,97,3,0,,,87,59,4505,1,600,31,5665,27,4268,5545047.00,79,5629,59,4429,8,571,27,4268,0,,70,4425,51,3911,32,4586,1253,2650994.00,1733733.00,1040745.00,1023045.00,17700.00,0.00,87,,,,,4740,1102000.00,4986,109640.00,5221,26245.00,2187,13449.00,1921,0.00,0,,,,,,,,,,,
100812,,,,,0,0,,,,,,,,,,,,,,,,4738926.00,,,,,,,,,,,68,2306,42,3293,65,5860,2055,11504073.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100830,9051.00,775932.00,2117046.00,2117046.00,657,15,0,89,11,0,,,86,48,4497,2,754,33,3559,58,5528,16448141.00,79,4218,48,4402,7,696,58,5528,0,,65,5944,44,4366,56,6873,2767,16280992.00,2201672.00,1416689.00,1386763.00,29926.00,0.00,79,,,,,4202,958678.00,5775,442125.00,5141,145543.00,2426,73054.00,1305,82608.00,2233,,,,,,,,,,,
100858,69159.00,24815595.00,11910772.00,7842287.00,4855,22,0,62,38,0,,,74,13,4668,1,1537,59,8596,31,8037,96307943.00,63,9127,13,4407,3,984,29,5488,4,20652,52,8422,15,4209,33,6709,11435,47927393.00,27783591.00,2898837.00,2736487.00,162350.00,4068485.00,72,,,,,6913,3215046.00,12809,1335482.00,9024,869002.00,5571,954353.00,4502,1341494.00,3844,,,,,,,,,,,
100937,129929.00,9974559.00,1785480.00,1393369.00,441,33,,,,,,,100,21,4585,36,828,99,22825,51,7900,31781196.00,100,23880,21,4171,9,987,51,6248,7,13521,98,24022,19,4200,47,6892,1323,4383011.00,10530861.00,426373.00,387873.00,38500.00,392111.00,100,,,,,,,,,,,,,,,,25283,1024727.00,27695,925682.00,28928,1193033.00,25384,1314846.00,24349,1457980.00,22781
101028,2700.00,622030.00,315138.00,315138.00,312,19,0,96,4,0,,,92,67,4612,2,450,44,4507,20,5002,5710582.00,88,5819,67,4566,6,533,20,5002,0,,74,4666,58,4012,27,6012,1224,2699420.00,1588720.00,963990.00,954390.00,9600.00,0.00,92,,,,,5588,1246177.00,5588,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
101073,18802.00,178925.00,303000.00,303000.00,101,21,,,,,,,99,98,2562,47,400,87,2033,92,3258,1876758.00,99,4514,91,2689,8,788,92,3258,0,,100,3870,83,2610,88,4119,485,1771168.00,451414.00,253687.00,247387.00,6300.00,0.00,99,,,,,,,,,,,,,,,,4518,355227.00,4674,38361.00,3487,31286.00,5214,8000.00,4000,14387.00,3597
101116,100.00,70751.00,140242.00,140242.00,31,7,,,,,,,97,77,5441,3,100,58,3931,81,5610,2224065.00,97,6714,77,4775,42,1229,81,5610,0,,86,5602,67,3761,71,6682,397,2178326.00,201432.00,130581.00,114606.00,15975.00,0.00,97,,,,,,,,,,,,,,,,6062,139394.00,6336,36403.00,9101,0.00,,0.00,0,0.00,0
101143,22300.00,277106.00,194058.00,194058.00,293,16,0,97,3,0,,,90,67,4397,2,4460,30,3185,16,4043,5727777.00,81,4860,63,4365,10,1808,16,4043,0,,71,4262,46,3856,17,5016,1344,1640327.00,1156725.00,857319.00,803094.00,54225.00,0.00,86,,,,,4489,619593.00,5341,196368.00,4789,63245.00,2750,6610.00,508,2971.00,594,,,,,,,,,,,
101161,54512.00,1367142.00,3174393.00,3043863.00,1076,24,39,56,4,0,,,88,57,4634,5,956,22,5793,57,5153,15030691.00,83,4747,54,4451,10,1923,57,5006,3,3955,65,5064,44,4393,48,5383,2968,11777506.00,4239329.00,2817675.00,2608097.00,209578.00,130530.00,86,,,,,4210,2028362.00,5603,674220.00,4886,304640.00,2649,149038.00,1569,85263.00,1421,,,,,,,,,,,
