"UNITID","OPEFLAG","SECTOR","DEGGRANT","HBCU","HOSPITAL","CARNEGIE","PSET4FLG","PEO1ISTR","PEO2ISTR","PEO3ISTR","PEO4ISTR","RELAFFIL","LEVEL7","LEVEL8","LEVEL17","LEVEL18","LEVEL19","OPENADMP","CREDITS1","CREDITS2","CREDITS3","CREDITS4","SLO5","SLO6","STUSRV1","STUSRV2","STUSRV3","STUSRV4","STUSRV8","ATHASSOC","SPORT1","CONFNO1","SPORT2","CONFNO2","SPORT3","CONFNO3","SPORT4","CONFNO4","APPLFEEU","ROOM","ROOMCAP","BOARD","RMBRDAMT","ALLONCAM","TUITPL","TUITPL1","TUITPL2","TUITPL3","TUITPL4","DISTCRS","LIBRES1","LIBRES2","LIBRES3","LIBRES4","LIBRES5","LIBRES6","LIBRES9","DISAB","TUITION1","FEE1","HRCHG1","TUITION2","FEE2","HRCHG2","TUITION3","FEE3","HRCHG3","chg2ay2","chg2at2","chg2af2","chg2ay3","chg2at3","chg2af3","chg3ay2","chg3at2","chg3af2","chg3ay3","chg3at3","chg3af3","RMINSTTP","RMOUSTTP","RMFRGNCP","DVEF13","DVEF14","DVEF15","ENRTOT","EFUG","EFUG1ST","EFUGTRN","EFUGCNT","PCUENRAN","PCUENRAP","PCUENRBK","PCUENRHS","PCUENRWH","PCUENR2M","PCUENRUN","PCUENRNR","PCUENRW","EFUGFT","EFUGPT","PCUENRNH","PCUENRAS","PCUDEEXC","PCUDESOM","PCUDENON","LPBOOKSP","LPMEDIAP","LEBOOKSP","LEDATABP","LEMEDIAP","LSALWAGP","LFRNGBNP","LEXMSBBP","LEXMSCSP","LEXMSOTP","LEXOMTLP","LEXPTOTF","LPSERIAP","LESERIAP","F1CORREV","F3GVGCPC","F1TUFEPC","F1STAPPC","F1LCAPPC","F1GVGCPC","F1PGGCPC","F1INVRPC","F1OTRVPC","F1COREXP","F1INSTPC","F1RSRCPC","F1PBSVPC","F1ACSPPC","F1STSVPC","F1INSUPC","F1OTEXPC","F1SAFBPC","F1EQUITR","F1ENDMFT","F2CORREV","F2TUFEPC","F2GVGCPC","F2PGGCPC","F2INVRPC","F2OTRVPC","F2COREXP","F2INSTPC","F2RSRCPC","F2PBSVPC","F2ACSPPC","F2STSVPC","F2INSUPC","F2OTEXPC","Expr1155","F2ENDMFT","F2EQUITR","F2SAFBPC","F3CORREV","F3TUFEPC","F3SSEAPC","F3OTRVPC","F3TUFEFT","F3SSEAFT","F3OTRVFT","F3COREXP","F3INSTPC","F3OTEXPC","F3EQUITR","F3PGGCPC","F3INVRPC","F3RSRCPC","F3PBSVPC","F3ACSPPC","F3STSVPC","F3INSUPC","F3SAFBPC","F3SWINSP","F3SWRSRP","F3SWPBSP","F3SWACSP","F3SWSTSP","F3SWISPP","F3SWOTEP","F3SWCREP","F1SWCREP","F1SWINSP","F1SWRSRP","F1SWPBSP","F1SWACSP","F1SWSTSP","F1SWISPP","F1SWOTEP","F2SWCREP","F2SWINSP","F2SWRSRP","F2SWPBSP","F2SWACSP","F2SWSTSP","F2SWISPP","F2SWOTEP","SALTOTL","SalProf","SalAssc","SalAsst","SalInst","Sallect","SALNRNK","SFTETOTL","SFTEPSTC","SFTELCAI","CINSON","COTSON","CINSOFF","COTSOFF","TUFEYR2","TUFEYR3","PRCH_EF","IDX_EF","PRCH_F","IDX_F","PRCH_SFA","IDX_SFA"
125170,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1104,128,46,1104,128,46,6624,272,276,1156,1104,52,1232,1104,128,6316,6264,52,6896,6624,272,63,0,19,5,58,36,6811,6811,1247,1095,3865,0,23,15,25,25,7,4,0,55,1405,5406,0,23,9,16,75,12,0,76,0,11,55,24,11,10,0,0,112,0,0,51904558.00,,9,25,27,36,0,0,3,32084189.00,43,0,0,13,16,5,22,65,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,70,,,54,61,44,2,,,,,,,,,76216,,,,76216,,,185,125,7,,,19984,25648,1156,1232,-2,-2,3,121178,-2,-2
125231,1,3,1,2,2,16,1,0,1,1,0,-2,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,0,0,1,1,0,1,0,1,11700,375,325,11700,375,325,11700,375,325,12075,11700,375,12075,11700,375,12075,11700,375,12075,11700,375,1,89,11,0,13,86,52565,8035,186,1519,5624,1,2,31,3,38,2,21,2,76,666,7369,0,2,100,0,0,0,0,74,0,0,38,5,1,49,6,2,48,0,25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633046000.00,92,0,6,10636,0,683,519706000.00,32,0,82,0,2,0,0,8,2,57,25,54,,,44,0,5,,24,,,,,,,,,,,,,,,,,61261,,,,,,61261,1792,1177,15,,,27435,27435,12075,12075,-2,-2,-2,-2,-2,-2
125462,1,4,1,2,2,40,1,1,1,-2,0,-2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,2,-2,2,-2,2,-2,2,-2,0,1,169,1,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,2,1380,0,46,1380,0,46,8190,0,257,1380,1380,0,1380,1380,0,9000,9000,0,8190,8190,0,85,0,5,19,50,32,3584,3584,791,425,1859,1,3,5,69,18,1,2,1,57,971,2613,1,3,43,21,36,24,2,48,0,18,56,22,7,4,0,11,240,0,9,29434627.00,,4,33,0,55,0,0,8,20506179.00,36,0,3,4,42,15,1,49,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,49,,66,52,20,29,0,,,,,,,,,72418,,,,72418,,,166,53,47,14144,20954,19820,26630,1380,1380,-2,-2,3,448637,-2,-2
125471,1,1,1,2,2,40,1,1,1,0,1,-2,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,2,0,0,0,0,1,1,1,1,1,1,1,0,1,1220,24,46,1220,24,46,7538,24,261,1198,1196,2,1220,1196,24,6994,6992,2,7538,7514,24,82,0,15,7,45,47,12422,12422,1314,2223,7115,0,6,27,43,13,4,3,3,60,2869,9553,0,6,33,21,46,3,0,17,0,76,69,0,8,15,8,0,197,0,4,83685101.00,,8,42,19,29,0,0,2,78166349.00,42,0,2,6,18,17,15,55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,57,,46,51,50,38,0,,,,,,,,,72410,,,,72410,,,432,255,17,,,19661,25979,1198,1220,-2,-2,3,117681,-2,-2
125499,1,4,1,2,-2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1104,79,46,1104,79,46,5160,79,215,1186,1104,82,1183,1104,79,4978,4896,82,5239,5160,79,94,0,2,6,60,33,8263,8263,1414,786,4918,0,19,3,28,42,6,2,1,55,2659,5604,0,19,16,22,62,54,1,34,0,11,58,23,5,1,6,8,163,0,0,86325336.00,,7,0,68,30,0,-9,4,77377992.00,54,0,4,24,16,3,0,64,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,44,,44,44,44,100,,,,,,,,,,78926,,,,78926,,,333,227,12,,,18571,22627,1186,1183,-2,-2,2,125222,-2,-2
125727,1,2,1,2,2,31,1,0,1,0,0,-2,0,0,0,0,0,2,1,0,1,0,1,1,1,1,1,1,0,1,2,-2,1,302,1,302,1,302,50,1,1050,1,,2,1,0,0,1,0,2,1,1,1,1,1,0,0,2,41850,1050,2065,41850,1050,2065,41850,1050,2065,41360,40320,1040,42900,41850,1050,41360,40320,1040,42900,41850,1050,70,26,4,2,96,1,1277,1277,343,55,879,1,9,2,16,62,6,3,0,61,1275,2,0,9,0,0,100,26,0,37,0,16,60,0,4,29,0,7,701,0,20,,,,,,,,,,,,,,,,,,,,,49883242.00,65,0,42,-10,3,46770788.00,48,1,0,9,20,23,0,53,50733,73,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,51,18,53,35,45,51,,67005,76343,62523,53607,45174,,32112,336,124,36,59410,59410,55350,55350,41360,42900,-2,-2,-2,-2,-2,-2
125763,1,2,1,2,2,31,1,0,1,0,0,-2,1,0,0,1,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,197,1,197,1,197,1,197,50,1,855,1,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,2,44184,390,1840,44184,390,1840,44184,390,1840,43280,42690,590,44774,44184,590,43280,42690,590,44774,44184,590,77,20,2,,,,2072,1614,426,70,1098,0,8,4,47,31,6,1,3,57,1579,35,0,7,0,0,100,32,0,28,0,0,56,0,4,21,12,7,614,0,40,,,,,,,,,,,,,,,,,,,,,66080962.00,82,2,10,4,3,66986935.00,48,2,0,10,21,19,0,57,41320,67,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,63,43,,48,44,28,,77295,99894,74312,60453,40312,58565,,460,165,100,59665,59665,54387,54387,43280,44774,-2,-2,-2,-2,-2,-2
125897,1,2,1,2,2,22,1,0,1,1,0,-2,1,0,0,0,0,2,1,0,1,0,0,1,1,1,1,1,0,2,2,-2,2,-2,2,-2,2,-2,75,1,212,2,,2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,36882,1024,1200,36882,1024,1200,36882,1024,1200,36408,35808,600,37906,36882,1024,36408,35808,600,37906,36882,1024,82,12,6,2,70,28,1283,1104,137,143,823,0,9,3,29,31,2,1,23,49,969,135,1,9,0,9,91,45,3,9,0,0,65,15,5,12,1,3,961,0,43,,,,,,,,,,,,,,,,,,,,,40278693.00,92,2,3,2,1,44523268.00,47,0,0,11,11,21,9,58,15528,35,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,67,,,53,49,26,15,63973,77699,64265,53964,58127,48324,,246,141,36,54007,54007,56356,56356,36408,37906,-2,-2,-2,-2,-2,-2
126076,1,2,1,2,2,51,1,0,1,0,0,-2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,2,-2,2,-2,2,-2,2,-2,,1,232,1,8100,1,1,0,0,1,0,2,1,1,1,0,0,0,0,1,13200,700,,13200,700,,13200,700,,13900,13200,700,13900,13200,700,13900,13200,700,13900,13200,700,64,32,4,,,,151,151,50,18,83,0,0,0,0,97,0,0,3,0,151,0,0,0,0,0,100,89,4,0,0,7,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,4583769.00,75,0,13,4,8,4221395.00,51,0,3,2,21,21,2,27,,85,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,37,,0,0,8,19,0,32035,,,,32035,,,15,8,0,25800,25800,,,13900,13900,-2,-2,-2,-2,-2,-2
126119,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,0,0,0,0,2,1124,20,46,1124,20,46,6455,20,220,1144,1124,20,1144,1124,20,6475,6455,20,6304,6284,20,96,0,0,6,58,36,6370,6370,999,502,4221,1,14,3,34,38,7,2,0,61,2277,4093,0,14,15,18,67,26,3,71,0,0,72,0,6,19,0,4,74,0,0,70770076.00,,3,22,25,27,0,0,22,58937211.00,54,0,3,8,17,12,7,66,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,41,,43,58,53,42,24,,,,,,,,,59392,,,,59392,,,290,184,11,,,19585,24745,1144,1144,-2,-2,-2,-2,-2,-2
126182,1,1,1,2,2,21,1,0,1,1,0,-2,1,0,1,0,0,2,1,1,1,0,0,1,1,1,1,1,1,1,1,159,1,159,1,159,1,159,30,1,1200,2,,2,1,1,0,1,0,1,1,1,1,1,1,1,0,1,5736,3417,239,5736,3417,239,16752,3417,698,8574,5448,3126,9153,5736,3417,19086,15960,3126,20169,16752,3417,68,31,1,2,71,27,3370,2014,461,304,1217,1,1,7,35,45,4,4,1,49,1625,389,1,1,13,6,81,21,2,28,0,23,43,14,6,28,2,7,264,0,26,50794367.00,,38,0,0,46,4,0,12,43872563.00,60,0,1,9,16,13,2,55,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,50,100,52,43,36,36,0,,,,,,,,,55999,68954,54062,50739,,,42674,422,147,58,22266,33282,23409,34425,8574,9153,-2,-2,-2,-2,-2,-2
126207,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1617,218,67,2538,218,106,10206,218,425,2756,2538,218,2756,2538,218,10424,10206,218,10424,10206,218,99,1,0,21,50,29,5652,5652,561,379,2663,0,2,2,34,58,2,2,0,58,1978,3674,0,1,5,25,71,10,1,88,0,0,50,21,11,17,1,1,130,0,0,99436818.00,,11,9,66,12,0,1,1,76395435.00,41,0,0,11,9,13,26,61,59,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,57,,4,61,62,65,9,,,,,,,,,61366,69244,54380,52105,49772,,,513,189,152,,,18055,25723,1835,1835,-2,-2,-2,-2,-2,-2
126289,1,4,1,2,2,40,1,1,1,-2,1,-2,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,3288,205,137,3288,205,137,13488,205,562,3334,3132,202,3493,3288,205,13052,12850,202,13693,13488,205,99,1,0,28,32,39,10261,10261,970,956,4836,1,3,2,16,62,3,11,1,55,1837,8424,0,3,26,12,62,7,0,52,0,1,52,17,3,15,0,13,99,0,40,48229257.00,,61,0,0,23,0,1,15,47904348.00,40,0,0,15,10,11,25,62,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,66,,0,33,60,60,18,,,,,,,,,63327,63327,,,,,,438,224,39,,,20179,30379,3334,3493,-2,-2,-2,-2,-2,-2
126359,1,6,1,2,2,40,1,0,1,-2,0,-2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,2,2,-2,2,-2,2,-2,2,-2,0,2,,3,,2,1,1,0,1,0,2,1,1,0,1,1,1,0,2,11963,0,,11963,0,,11963,0,,11588,11588,0,11963,11963,0,11588,11588,0,11963,11963,0,69,27,0,,,,381,381,49,68,264,1,1,3,11,73,10,1,0,91,381,0,0,1,0,0,100,75,23,0,0,0,,,,,,,,3,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052859.00,80,0,0,8931,25,0,5838850.00,33,56,30,0,0,0,0,3,1,7,44,91,,,87,86,87,0,39,,,,,,,,,,,,,,,,,49294,30556,,,51636,,,39,12,13,,,27797,27797,11588,11963,-2,-2,-2,-2,-2,-2
