UNITID,EFFT,EFLEVEL
131113,299,31
131159,6981,30
131159,1679,31
131283,3088,30
131283,723,31
131399,1786,30
131399,240,31
131450,1082,30
131450,245,31
131469,10343,30
131469,2517,31
131496,6874,30
131496,1573,31
131520,5553,30
131520,900,31
131803,116,30
131803,9,31
131830,34,30
131830,2,31
131876,1071,30
131876,221,31
132268,176,30
132268,39,31
132338,692,30
132338,113,31
132374,2521,30
132374,1024,31
132408,307,30
132408,32,31
132471,2889,30
132471,479,31
132602,3583,30
132602,1161,31
132657,1948,30
132657,559,31
132675,142,30
132675,119,31
132693,4849,30
132693,1495,31
132709,11959,30
132709,3676,31
132842,121,30
132842,7,31
132851,2775,30
132851,877,31
132879,161,30
132879,35,31
132903,38228,30
132903,6170,31
132976,194,30
132976,60,31
133021,910,30
133021,355,31
133155,323,30
133155,144,31
133386,3083,30
133386,383,31
133465,568,30
133465,17,31
133492,1890,30
133492,573,31
133508,4226,30
133508,1661,31
133526,903,30
133526,234,31
133553,5003,30
133553,1255,31
133650,6604,30
133650,1293,31
133669,15715,30
133669,3036,31
133702,6646,30
133702,1570,31
133711,2539,30
133711,600,31
133809,521,30
133809,179,31
133845,445,30
133845,103,31
133854,551,30
133854,143,31
133863,404,30
133863,125,31
133872,556,30
133872,78,31
133881,3281,30
133881,759,31
133942,79,30
133951,25920,30
133951,4159,31
133960,358,30
133960,134,31
133979,1231,30
133979,377,31
133997,340,30
133997,117,31
134024,79,30
134024,28,31
134079,2323,30
134079,643,31
134097,29051,30
134097,6123,31
134112,4753,30
134112,238,31
134130,30583,30
134130,6801,31
134149,32,30
134149,1,31
134228,33,30
134228,32,31
134237,17504,30
134237,3601,31
134291,440,30
134291,86,31
134307,282,30
134307,90,31
134343,1714,30
134343,586,31
134422,46,30
134422,5,31
134495,10539,30
134495,3338,31
134510,104,30
134510,27,31
134529,95,30
134529,30,31
134574,90,30
134574,35,31
134608,5143,30
134608,1509,31
134680,45,30
134714,63,30
134714,21,31
134811,1486,30
134811,183,31
134945,2113,30
134945,544,31
135063,32,30
135081,11468,30
135081,4566,31
135142,24,30
135142,1,31
135160,881,30
135160,330,31
135179,451,30
135179,219,31
135188,1232,30
135188,542,31
135267,707,30
135267,361,31
135276,556,30
135276,368,31
135294,377,30
135294,138,31
135337,79,30
135337,11,31
135364,58,30
135364,3,31
135391,3471,30
135391,1170,31
135407,645,30
135407,400,31
135522,407,30
135522,259,31
135559,56,30
135559,5,31
135610,50,30
135610,,31
135647,348,30
135647,141,31
135717,20594,30
135717,7605,31
135726,10102,30
135726,2042,31
135735,1206,30
135735,414,31
135771,290,30
135771,92,31
136066,322,30
136066,25,31
136109,132,30
136109,31,31
136145,370,30
136145,157,31
136172,9629,30
136172,1858,31
136215,3051,30
136215,647,31
136233,2022,30
136233,522,31
136288,3,30
136288,1,31
136303,224,30
136303,144,31
136330,2295,30
136330,501,31
136358,7777,30
136358,2172,31
136400,4026,30
136400,1466,31
136473,3257,30
136473,981,31
136491,633,30
136491,197,31
136516,2974,30
136516,825,31
136659,189,30
136659,95,31
136765,533,30
136765,485,31
136774,1270,30
136774,355,31
136783,56,30
136783,12,31
136826,449,30
136826,172,31
136950,2450,30
136950,538,31
137023,398,30
137023,181,31
137032,7555,30
137032,610,31
137078,6976,30
137078,1790,31
137087,682,30
137087,241,31
137096,5922,30
137096,1919,31
137120,325,30
137120,223,31
137148,17,30
137148,1,31
137209,5821,30
137209,1952,31
137245,1391,30
137245,708,31
137272,60,30
137272,10,31
137281,1779,30
137281,644,31
137315,841,30
137315,327,31
137351,23603,30
137351,4010,31
137476,798,30
137476,195,31
137546,3017,30
137546,812,31
137564,3831,30
137564,1005,31
137591,338,30
137591,104,31
137713,115,30
137713,102,31
137759,5560,30
137759,1993,31
137777,39,30
137777,11,31
137801,257,30
137801,34,31
137847,7124,30
137847,1906,31
137856,81,30
137856,43,31
137865,339,30
137865,70,31
137953,275,30
137953,94,31
137962,168,30
137962,26,31
138132,62,30
138132,22,31
138187,14881,30
138187,5250,31
138275,835,30
138275,178,31
138284,208,30
138284,142,31
138293,628,30
138293,178,31
138309,4288,30
138309,245,31
138354,6997,30
138354,1282,31
138372,337,30
138372,207,31
138479,722,30
138479,360,31
138488,204,30
138488,114,31
138497,288,30
138497,197,31
138558,2489,30
138558,919,31
138600,883,30
138600,272,31
138655,485,30
138655,108,31
138664,53,30
138664,12,31
138682,1369,30
138682,339,31
138691,1610,30
138691,356,31
138716,2187,30
138716,435,31
138761,266,30
138761,152,31
138789,4702,30
138789,934,31
138813,1667,30
138813,320,31
138822,506,30
138822,89,31
138840,1350,30
138840,400,31
138868,1219,30
138868,319,31
138901,1115,30
138901,165,31
138938,181,30
138938,118,31
138947,2986,30
138947,987,31
138956,1663,30
138956,416,31
139010,646,30
139010,174,31
139144,2046,30
139144,534,31
139153,130,30
139153,1,31
139199,1038,30
139199,152,31
139205,399,30
139205,153,31
139214,53,30
139214,3,31
139250,2111,30
139250,733,31
139278,1585,30
139278,495,31
139287,34,30
139287,4,31
139311,3456,30
139311,490,31
139357,880,30
139357,195,31
139366,4753,30
139366,977,31
139384,1522,30
139384,337,31
139393,973,30
139393,265,31
139463,3209,30
139463,866,31
139506,158,30
139506,41,31
139579,401,30
139579,13,31
139621,2228,30
139621,987,31
139630,743,30
139630,238,31
139658,6639,30
139658,1358,31
139700,2698,30
139700,983,31
139719,1993,30
139719,494,31
139746,70,30
139755,13698,30
139755,2873,31
139764,1759,30
139764,475,31
139861,5519,30
139861,1379,31
139931,15912,30
139931,3560,31
139940,19062,30
139940,3836,31
139959,26252,30
139959,5401,31
139968,2432,30
139968,763,31
139986,1542,30
139986,374,31
139995,236,30
139995,96,31
140003,165,30
140003,70,31
140012,1521,30
140012,282,31
140234,854,30
140234,235,31
140243,986,30
140243,270,31
140252,531,30
140252,112,31
140331,2549,30
140331,728,31
140340,415,30
140340,40,31
140447,4012,30
140447,828,31
140553,2016,30
140553,608,31
140678,900,30
140678,341,31
140696,1112,30
140696,331,31
140720,389,30
140720,101,31
140818,1177,30
140818,273,31
140827,63,30
140872,1223,30
140872,353,31
140942,1277,30
140942,262,31
140951,8400,30
140951,2139,31
140960,4108,30
140960,1254,31
140988,1212,30
140988,317,31
141006,851,30
141006,347,31
141015,227,30
141015,8,31
141060,2061,30
141060,531,31
141167,458,30
141167,100,31
141185,729,30
141185,207,31
141237,692,30
141237,218,31
141255,856,30
141255,174,31
141264,7148,30
141264,1491,31
141325,476,30
141325,103,31
141334,8958,30
141334,2375,31
141361,1102,30
141361,338,31
141486,1352,30
141486,256,31
141565,2436,30
141565,359,31
141574,10676,30
141574,1924,31
141608,84,30
141608,8,31
141644,2538,30
141644,449,31
141680,1234,30
141680,333,31
141796,2592,30
141796,689,31
141802,410,30
141802,154,31
141811,2830,30
141811,846,31
141839,1144,30
141839,370,31
141848,36,30
141848,12,31
141945,70,30
141945,18,31
141981,1552,30
141981,266,31
141990,762,30
141990,224,31
142054,389,30
142054,17,31
142090,121,30
142090,32,31
142115,12350,30
142115,2526,31
142179,317,30
142179,72,31
142276,6498,30
142276,1356,31
142285,7248,30
142285,1632,31
142294,918,30
142294,237,31
142328,2263,30
142328,509,31
142407,37,30
142407,3,31
142416,15,30
142416,10,31
142443,2092,30
142443,591,31
142461,1123,30
142461,224,31
142489,23,30
142489,7,31
142522,16535,30
142522,3738,31
142559,1944,30
142559,629,31
142869,2,30
142869,,31
142878,5,30
142887,217,30
142887,55,31
142957,11,30
142957,2,31
143048,2681,30
143048,633,31
143084,2514,30
143084,697,31
143118,3302,30
143118,652,31
143181,42,30
143181,8,31
143215,3860,30
143215,880,31
143279,1909,30
143279,652,31
143288,569,30
143288,169,31
143297,226,30
143303,17,30
143358,4278,30
143358,1093,31
143376,185,30
143376,25,31
143464,41,30
143464,1,31
143473,16,30
143473,4,31
143482,8,30
143482,2,31
143491,10,30
143491,1,31
143516,4,30
143516,1,31
143543,53,30
143543,29,31
143552,37,30
143552,5,31
143613,929,30
143613,322,31
143695,18,30
143695,14,31
144005,1464,30
144005,76,31
144050,5956,30
144050,1591,31
144157,1570,30
144157,411,31
144166,2420,30
144166,620,31
144175,781,30
144175,135,31
144184,1599,30
144184,413,31
144193,1901,30
144193,456,31
144209,4735,30
144209,1246,31
144218,3149,30
144218,901,31
144281,7099,30
144281,1533,31
144351,1355,30
144351,350,31
144467,418,30
144485,458,30
144485,163,31
144564,973,30
144564,345,31
144573,36,30
144573,14,31
144740,13126,30
144740,2453,31
144795,164,30
144795,36,31
144865,6335,30
144865,1879,31
144883,507,30
144883,181,31
144892,5117,30
144892,770,31
144944,3008,30
144944,932,31
144962,2682,30
144962,477,31
144971,644,30
144971,153,31
145099,221,30
145099,148,31
145239,374,30
145239,23,31
145309,41,30
145309,17,31
145336,1923,30
145336,218,31
145354,6,30
145354,1,31
145372,913,30
145372,198,31
145406,76,30
145424,20,30
145424,3,31
145433,38,30
145433,2,31
145460,,30
145497,177,30
145497,88,31
145521,823,30
145521,310,31
145600,16408,30
145600,3271,31
145619,2687,30
145619,552,31
145637,32126,30
145637,7581,31
145646,1760,30
145646,425,31
145682,3082,30
145682,1035,31
145691,949,30
145691,293,31
145707,479,30
145707,155,31
145725,2709,30
145725,503,31
145770,72,30
145770,6,31
145813,17420,30
145813,3682,31
145831,1256,30
145831,182,31
146010,25,30
146205,1899,30
146205,509,31
146278,965,30
146278,386,31
146296,4988,30
146296,1043,31
146339,786,30
146339,178,31
146348,1064,30
146348,247,31
146366,1233,30
146366,145,31
146393,696,30
146393,55,31
146418,1570,30
146418,422,31
146427,1325,30
146427,347,31
146454,25,30
146454,9,31
146472,3808,30
146472,1236,31
146481,1502,30
146481,358,31
146506,2261,30
146506,859,31
146533,206,30
146603,1731,30
146603,562,31
146612,3741,30
146612,642,31
146667,357,30
146667,81,31
146676,727,30
146676,289,31
146685,2269,30
146685,759,31
146700,680,30
146700,258,31
146719,10261,30
146719,2621,31
146755,131,30
146807,30,30
146807,7,31
146816,89,30
146816,25,31
146825,531,30
146825,136,31
147004,1944,30
147004,621,31
147013,1820,30
147013,458,31
147129,315,30
147129,19,31
147165,125,30
147165,2,31
147244,1793,30
