"UNITID","EFYTOTLT"
146366,8319
146393,1843
146418,5644
146427,1398
146454,50
146472,24952
146481,1595
146506,22278
146533,373
146603,11003
146612,5482
146667,563
146676,1395
146685,11649
146700,1020
146719,12324
146755,354
146807,90
146816,325
146825,603
147004,10431
147013,2695
147129,708
147165,649
147244,2220
147341,1231
147369,3654
147378,26598
147396,100
147411,6942
147439,110
147536,1982
147590,174
147642,76
147660,2921
147679,2544
147703,16344
147749,486
147767,10611
147776,9669
147800,20091
147819,78
147828,3709
147916,19047
148007,9818
148016,489
148098,64
148131,1163
148140,198
148177,1865
148256,10595
148292,5978
148335,3123
148380,12084
148399,1044
148405,1179
148487,3576
148496,2438
148511,159
148575,508
148584,1834
148593,124
148627,3376
148654,3445
148672,3275
148821,5796
148849,83
148876,2052
148937,4816
148955,107
148991,2562
149028,322
149204,72
149222,14593
149231,13163
149310,398
149329,75
149365,9770
149499,27
149505,1423
149514,1095
149532,17832
149550,282
149639,177
149727,18931
149763,656
149772,10355
149781,2545
149842,25409
150048,588
150066,2068
150075,11
150136,18583
150145,1649
150163,4058
150172,955
150251,279
150303,292
150400,2285
150428,71
150437,48
150455,1004
150534,2525
150604,1138
150668,835
150677,2179
150695,96
150710,116
150756,1142
150765,97
150774,607
150853,216
150941,1184
150987,165959
151102,14092
151111,25859
151166,5219
151263,4763
151290,8685
151306,11110
151324,14331
151333,4691
151342,8059
151351,40945
151360,6692
151379,6944
151388,6342
151458,470
151467,417
151564,53
151607,171
151616,642
151652,358
151661,1479
151777,1287
151786,2677
151801,3007
151810,373
151874,3
151944,469
151962,121
152044,116
152080,8626
152099,1567
152150,58
152248,10317
152266,7274
152275,265
152309,119
152318,2339
152327,34
152336,2091
152363,1225
152381,816
152390,1686
152415,583
152497,242
152530,2482
152567,3483
152600,3426
152628,64
152637,22888
152673,873
152798,532
152992,1138
153001,2715
153074,301
153083,231
153108,1521
153126,967
153144,1498
153162,1041
153171,28
153214,36861
153241,86
153250,1529
153269,3609
153278,1975
153296,1081
153302,260
153311,13174
153320,293
153339,30
153366,1829
153375,2239
153384,1774
153409,312
153418,673
153427,281
153445,8618
153463,38
153472,7053
153524,7969
153533,3238
153542,16
153588,35
153597,187
153603,32246
153621,530
153630,9661
153658,25883
153737,20409
153746,71
153764,153
153773,142
153782,70
153825,1569
153834,2380
153861,486
153922,2676
153977,997
154004,1380
154013,1852
154022,87705
154059,3907
154095,11284
154101,1151
154110,6606
154129,2700
154165,75
154174,26
154208,186
154235,2681
154262,272
154332,125
154341,77
154350,1779
154378,3717
154396,2163
154448,241
154457,47
154466,74
154493,6629
154518,2657
154527,1599
154545,52
154572,8129
154590,1931
154642,4012
154688,2124
154697,16321
154712,2203
154721,753
154749,598
