"INSTNM","STABBR","ZIP","LOCALE","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Elon University","NC","27244-2010",22,5,83,78,87
"Fayetteville State University","NC","28301-4298",12,5,37,31,41
"Gardner-Webb University","NC","28017-0997",32,5,46,44,47
"Greensboro College","NC","27401-1875",11,5,30,23,40
"Guilford College","NC","27410-4108",11,5,55,48,63
"Heritage Bible College","NC","28334",41,5,25,25,
"High Point University","NC","27268",12,5,70,67,72
"Johnson C Smith University","NC","28216-5398",11,5,39,31,45
"Lees-McRae College","NC","28604",42,5,40,30,49
"Lenoir-Rhyne University","NC","28601",13,5,48,42,53
"Livingstone College","NC","28144",22,5,23,19,27
"Mars Hill University","NC","28754",21,5,34,31,36
"Meredith College","NC","27607-5298",11,5,68,,68
"Methodist University","NC","28311-1420",12,5,39,27,59
"Miller-Motte College-Wilmington","NC","28405",12,5,19,16,19
"Montreat College","NC","28757-1267",21,5,28,25,31
"University of Mount Olive","NC","28365-0919",31,5,47,45,49
"North Carolina A & T State University","NC","27411",11,5,53,44,60
"University of North Carolina at Asheville","NC","28804-8510",13,5,65,60,68
"University of North Carolina at Chapel Hill","NC","27599",13,5,92,90,93
"University of North Carolina at Charlotte","NC","28223-0001",11,5,66,62,70
"University of North Carolina at Greensboro","NC","27402-6170",11,5,58,53,60
"North Carolina Central University","NC","27707",11,5,51,46,53
"University of North Carolina School of the Arts","NC","27127-2738",12,5,70,69,70
"North Carolina State University at Raleigh","NC","27695-7001",11,5,85,83,88
"North Carolina Wesleyan College","NC","27804",13,5,40,31,58
"University of North Carolina Wilmington","NC","28403-5963",12,5,72,67,74
"William Peace University","NC","27604-1194",11,5,42,46,39
"University of North Carolina at Pembroke","NC","28372-1510",32,5,43,37,48
"Pfeiffer University","NC","28109-0960",42,5,34,30,38
"Queens University of Charlotte","NC","28274-0001",11,5,64,54,70
"Mid-Atlantic Christian University","NC","27909-4054",32,5,46,55,40
"Saint Augustine's University","NC","27610-2298",11,5,22,13,32
"Salem College","NC","27101",12,5,67,,67
"Shaw University","NC","27601",11,5,16,12,20
"St. Andrews University","NC","28352",32,5,31,20,41
"Southeastern Baptist Theological Seminary","NC","27587-1889",21,5,54,52,56
"Wake Forest University","NC","27106",12,5,90,86,94
"Warren Wilson College","NC","28778-2099",21,5,39,39,39
"Wingate University","NC","28174-0159",21,5,61,54,65
"Winston-Salem State University","NC","27110-0001",12,5,46,37,49
"Western Carolina University","NC","28723-9646",32,5,61,58,64
"Rasmussen University-North Dakota","ND","58103-7196",12,4,0,,0
"Bismarck State College","ND","58506-5587",13,4,,,
"Dickinson State University","ND","58601-4896",33,4,36,32,39
"Nueta Hidatsa Sahnish College","ND","58763",43,4,0,,0
"University of Jamestown","ND","58405",33,4,56,45,66
"University of Mary","ND","58504",41,4,64,62,66
"Mayville State University","ND","58257-1299",43,4,31,20,48
"Minot State University","ND","58707",33,4,46,38,54
"University of North Dakota","ND","58202-8193",13,4,62,58,66
"North Dakota State University-Main Campus","ND","58108-6050",12,4,65,63,67
"Sitting Bull College","ND","58538-9721",43,4,,,
"Trinity Bible College and Graduate School","ND","58436-7105",43,4,50,40,64
"Turtle Mountain Community College","ND","58316",43,4,27,0,30
"United Tribes Technical College","ND","58504",23,4,,,
"Valley City State University","ND","58072",33,4,53,49,57
"Herzing University-Akron","OH","44306-3931",21,3,0,0,0
"University of Akron Main Campus","OH","44325-4702",12,3,49,48,50
"Allegheny Wesleyan College","OH","44460-9598",41,3,42,33,44
"Art Academy of Cincinnati","OH","45202-1706",11,3,38,31,40
"Ashland University","OH","44805",31,3,68,61,73
"Aultman College of Nursing and Health Sciences","OH","44710-1797",13,3,,,
"Baldwin Wallace University","OH","44017-2088",21,3,66,61,72
"Bluffton University","OH","45817-2104",32,3,53,48,58
