"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Pacific Lutheran University","WA","98447-0003",8,69,64,73
"Peninsula College","WA","98362",8,,,
"University of Puget Sound","WA","98416",8,74,70,77
"Renton Technical College","WA","98056-4123",8,,,
"Saint Martin's University","WA","98503-7500",8,61,64,59
"South Seattle College","WA","98106-1499",8,,,
"Seattle Central College","WA","98122",8,,,
"Seattle Pacific University","WA","98119-1997",8,66,59,69
"Seattle University","WA","98122-4340",8,75,71,77
"Skagit Valley College","WA","98273",8,,,
"Spokane Community College","WA","99217-5399",8,,,
"Spokane Falls Community College","WA","99224-5288",8,,,
"Tacoma Community College","WA","98466-6100",8,,,
"Walla Walla Community College","WA","99362-9267",8,,,
"Walla Walla University","WA","99324-1198",8,63,61,66
"Washington State University","WA","99164-5910",8,60,55,64
"University of Washington-Seattle Campus","WA","98195-4550",8,84,81,87
"Wenatchee Valley College","WA","98801-1799",8,,,
"Western Washington University","WA","98225-9008",8,68,65,70
"Whatcom Community College","WA","98226",8,,,
"Whitman College","WA","99362",8,89,85,91
"Whitworth University","WA","99251",8,75,72,77
"Yakima Valley College","WA","98907-2520",8,,,
"Alderson Broaddus University","WV","26416-2035",5,31,24,41
"Appalachian Bible College","WV","25880-9557",5,71,75,69
"Bethany College","WV","26032",5,43,36,61
"Bluefield State College","WV","24701-2198",5,31,33,28
"University of Charleston","WV","25304",5,42,36,47
"Concord University","WV","24712",5,42,29,52
"Davis & Elkins College","WV","26241-3996",5,49,37,60
"Fairmont State University","WV","26554-2470",5,46,46,46
"Glenville State University","WV","26351-1292",5,45,41,49
"Marshall University","WV","25755",5,53,49,55
"West Virginia University at Parkersburg","WV","26104",5,,,
"Potomac State College of West Virginia University","WV","26726",5,,,
"Salem University","WV","26426",5,22,22,22
"Shepherd University","WV","25443",5,44,40,48
"West Virginia State University","WV","25112-1000",5,30,26,34
"West Liberty University","WV","26074",5,42,64,28
"West Virginia University Institute of Technology","WV","25801",5,28,27,30
"West Virginia Wesleyan College","WV","26201-2994",5,54,47,60
"West Virginia University","WV","26506",5,63,59,67
"Wheeling University","WV","26003",5,57,56,58
"Alverno College","WI","53234-3922",3,48,,48
"Madison Area Technical College","WI","53704-2599",3,,,
"Bellin College","WI","54311",3,59,67,58
"Beloit College","WI","53511-5595",3,73,70,77
"Cardinal Stritch University","WI","53217-3985",3,54,59,52
"Carroll University","WI","53186",3,67,67,67
"Carthage College","WI","53140-1994",3,68,59,77
"Concordia University-Wisconsin","WI","53097-2402",3,60,51,67
"Edgewood College","WI","53711-1997",3,62,56,64
"Lakeland University","WI","53073",3,42,39,48
"Lawrence University","WI","54911",3,80,74,85
"Maranatha Baptist University","WI","53094",3,50,46,54
"Marian University","WI","54935-4699",3,56,50,59
"Marquette University","WI","53233",3,81,77,85
"Milwaukee Institute of Art & Design","WI","53202-6003",3,53,56,52
"Milwaukee School of Engineering","WI","53202-3109",3,66,61,79
"Mount Mary University","WI","53222-4597",3,51,,51
"Northland College","WI","54806-3999",3,58,51,67
"Ripon College","WI","54971-0248",3,62,61,64
"Saint Norbert College","WI","54115-2099",3,78,71,84
"Viterbo University","WI","54601-8804",3,65,56,68
"University of Wisconsin-Whitewater","WI","53190-1790",3,63,59,68
"University of Wisconsin-Eau Claire","WI","54701",3,68,64,71
"University of Wisconsin-Green Bay","WI","54311-7001",3,55,50,57
"University of Wisconsin-La Crosse","WI","54601-9959",3,73,70,75
"Wisconsin Lutheran College","WI","53226-4699",3,61,57,65
"University of Wisconsin-Oshkosh","WI","54901",3,55,48,60
"University of Wisconsin-Parkside","WI","53144",3,42,42,41
"Herzing University-Madison","WI","53718",3,27,33,22
"University of Wisconsin-Stout","WI","54751",3,56,52,61
"University of Wisconsin-Superior","WI","54880-4500",3,43,38,47
"University of Wisconsin-Madison","WI","53706-1380",3,89,87,91
"University of Wisconsin-Milwaukee","WI","53211",3,47,45,49
"University of Wisconsin-Platteville","WI","53818-3099",3,59,58,62
"University of Wisconsin-River Falls","WI","54022-5001",3,57,52,59
"University of Wisconsin-Stevens Point","WI","54481-3897",3,55,51,59
"Central Wyoming College","WY","82501",7,,,
"Laramie County Community College","WY","82007-3299",7,,,
"Northwest College","WY","82435-1898",7,,,
"Western Wyoming Community College","WY","82901",7,,,
"University of Wyoming","WY","82071",7,60,53,67
"American Samoa Community College","AS","96799-2609",9,100,,100
"Guam Community College","GU","96913",9,,,
"University of Guam","GU","96923",9,41,33,48
"Northern Marianas College","MP","96950-1250",9,26,17,32
"American University of Puerto Rico","PR","00960-2037",9,42,33,52
"American University of Puerto Rico","PR","00674-1082",9,40,30,46
"Universidad Adventista de las Antillas","PR","00680-0000",9,44,31,50
"Atlantic University College","PR","00970",9,44,42,49
"Universidad Central de Bayamon","PR","00960-1725",9,36,16,47
"Columbia Central University-Caguas","PR","00726",9,35,29,67
"Albizu University-San Juan","PR","00902-3711",9,45,36,47
"Caribbean University-Bayamon","PR","00960-0493",9,19,12,25
"Caribbean University-Carolina","PR","00985",9,25,0,29
"Pontifical Catholic University of Puerto Rico-Arecibo","PR","00614-4045",9,30,29,31
"Pontifical Catholic University of Puerto Rico-Ponce","PR","00717-9997",9,43,35,48
"CEM College-San Juan","PR","00926-1931",9,39,27,45
"Universidad Teologica del Caribe","PR","00978-0901",9,33,18,54
"Colegio Universitario de San Juan","PR","00918",9,23,13,45
"Universidad Ana G. Mendez-Cupey Campus","PR","00926-2602",9,30,23,34
"Conservatory of Music of Puerto Rico","PR","00907-3373",9,54,50,63
"EDP University of Puerto Rico Inc-San Sebastian","PR","00685",9,100,,100
"Escuela de Artes Plasticas y Diseno de Puerto Rico","PR","00902-1112",9,34,33,34
"Huertas College","PR","00725",9,,,
"Humacao Community College","PR","00791",9,60,50,75
"Inter American University of Puerto Rico-San German","PR","00683",9,42,35,47
"Inter American University of Puerto Rico-Aguadilla","PR","00603",9,31,21,40
"Inter American University of Puerto Rico-Arecibo","PR","00614",9,37,25,44
"Inter American University of Puerto Rico-Barranquitas","PR","00794",9,44,29,52
"Inter American University of Puerto Rico-Metro","PR","00919",9,32,25,37
"Inter American University of Puerto Rico-Ponce","PR","00715-1602",9,34,25,41
"Inter American University of Puerto Rico-Fajardo","PR","00738-7003",9,37,31,42
"Inter American University of Puerto Rico-Guayama","PR","00784",9,48,36,54
"Inter American University of Puerto Rico-Bayamon","PR","00957-6257",9,32,26,39
"NUC University","PR","00960",9,22,20,23
"University of Puerto Rico-Aguadilla","PR","00604-6150",9,43,42,45
"University of Puerto Rico-Arecibo","PR","00614-4010",9,48,41,53
"University of Puerto Rico-Bayamon","PR","00959",9,29,23,35
"University of Puerto Rico-Carolina","PR","00984-4800",9,44,44,44
"University of Puerto Rico-Cayey","PR","00737-2230",9,47,42,50
"University of Puerto Rico-Humacao","PR","00792",9,49,44,52
"University of Puerto Rico-Utuado","PR","00641",9,12,9,16
"University of Puerto Rico-Mayaguez","PR","00681",9,47,38,57
"University of Puerto Rico at Ponce","PR","00716-9996",9,46,39,50
"University of Puerto Rico-Rio Piedras","PR","00931-0000",9,50,43,54
"Universidad Ana G. Mendez-Carolina Campus","PR","00985-0985",9,29,20,35
"Universidad del Sagrado Corazon","PR","00907",9,41,31,47
"Universidad Central Del Caribe","PR","00960-6032",9,36,100,25
"Universidad Politecnica de Puerto Rico","PR","00919",9,22,21,30
"Pontifical Catholic University of Puerto Rico-Mayaguez","PR","00680-1713",9,36,25,43
"Universidad Ana G. Mendez-Gurabo Campus","PR","00778-3030",9,28,23,32
"College of Micronesia-FSM","FM","96941",9,,,
"University of the Virgin Islands","VI","00802-9990",9,32,21,38
"Stanford University","CA","94305",8,96,94,97
"Purdue University-Main Campus","IN","47907-2040",3,83,81,85
"Parker University","TX","75229-5668",6,,,
"EDP University of Puerto Rico Inc-San Juan","PR","00919-2303",9,29,50,0
"City College-Fort Lauderdale","FL","33309",5,,,
"St. John's College","NM","87505-4599",6,72,71,72
"Mid-America Christian University","OK","73170-9797",6,36,37,35
"Beckfield College-Florence","KY","41042",5,0,0,0
"Landmark College","VT","05346",1,,,
"Yeshiva Gedolah of Greater Detroit","MI","48237",3,0,0,
"Collin County Community College District","TX","75069",6,,,
"ECPI University","VA","23462",5,33,37,28
"South University-Columbia","SC","29203",5,8,0,10
"Lac Courte Oreilles Ojibwe College","WI","54843",3,,,
"Platt College-Los Angeles","CA","91803",8,,,
"Platt College-Aurora","CO","80014-3141",7,50,0,100
"Northwestern College","IL","60455",3,,,
"University of Massachusetts Global","CA","92618",8,0,0,
"New College of Florida","FL","34243-2109",5,66,67,66
"Yeshivah Gedolah Rabbinical College","FL","33139",5,0,0,
"Caribbean University-Ponce","PR","00716-7733",9,16,21,7
"Caribbean University-Vega Baja","PR","00964",9,50,20,71
"University of Advancing Technology","AZ","85283",6,33,35,27
"South Florida Bible College and Theological Seminary","FL","33442",5,0,,0
"Pennsylvania College of Technology","PA","17701-5799",2,55,54,60
"Stone Child College","MT","59521-9796",7,,,
"Southern Technical College","FL","33907-1108",5,50,,50
"California State University-San Marcos","CA","92096-0001",8,59,52,64
"Hodges University","FL","33966",5,15,8,25
"Hussian College-Daymar College Clarksville","TN","37040",5,31,50,27
"Nossi College of Art","TN","37115",5,78,79,78
"Bryan University","MO","65804",4,100,100,100
"Fremont College","CA","90703",8,,,
"Yeshiva Gedolah Imrei Yosef D'spinka","NY","11219",2,25,25,
"CEM College-Humacao","PR","00791-4210",9,42,13,52
"Universal Technology College of Puerto Rico","PR","00603",9,17,50,0
"College of the Marshall Islands","MH","96960",9,,,
"Northwest College of Art & Design","WA","98402",8,38,0,50
"University of Washington-Bothell Campus","WA","98011-8246",8,66,66,66
"University of Washington-Tacoma Campus","WA","98402-3100",8,58,58,58
"Valley College-Martinsburg","WV","25404-6203",5,,,
"Pacific College of Health and Science","CA","92108-4407",8,,,
"Bay Mills Community College","MI","49715",3,,,
"Northwest Indian College","WA","98226-9217",8,26,27,25
"Provo College","UT","84601",7,0,,0
"Beacon College","FL","34748",5,72,75,64
"University of the Potomac-Washington DC Campus","DC","20005",2,75,67,82
"Rabbi Jacob Joseph School","NJ","08817-4494",2,4,4,
"Everglades University","FL","33431",5,58,64,52
"Herzing University-Orlando","FL","32792",5,33,0,50
"College of Biblical Studies-Houston","TX","77036-3211",6,50,50,
"The College of Health Care Professions-Northwest","TX","77092",6,26,33,25
"Southern California Institute of Technology","CA","92801-3758",8,50,51,33
"Soka University of America","CA","92656-8081",8,91,90,91
"World Mission University","CA","90020",8,100,100,100
"Schiller International University","FL","33602",5,0,0,0
"ASA College","NY","11201-9805",2,,,
"Yeshivas Novominsk","NY","11204-2138",2,0,0,
"Rabbinical College of Ohr Shimon Yisroel","NY","11211",2,44,44,
"Galen College of Nursing-Tampa Bay","FL","33716",5,,,
"Galen College of Nursing-San Antonio","TX","78229",6,,,
"Pacific Bible College","OR","97501",8,,,
"Florida National University-Main Campus","FL","33012",5,49,34,65
"South Texas College","TX","78501",6,13,14,12
"California State University-Monterey Bay","CA","93955-8001",8,60,55,63
"Remington College-Memphis Campus","TN","38132",5,60,60,60
"Capella University","MN","55402-3389",4,50,67,0
"College of Menominee Nation","WI","54135-1179",3,,,
"Pacific College of Health and Science","NY","10038",2,100,,100
"Trine University-Regional/Non-Traditional Campuses","IN","46825",3,0,0,0
"Southeast Missouri Hospital College of Nursing and Health Sciences","MO","63703-4507",4,,,
"Messenger College","TX","76021",6,46,33,75
"New York College of Health Professions","NY","11791-4413",2,,,
"Centura College-Chesapeake","VA","23320",5,,,
"University of Phoenix-Hawaii","HI","96707-2082",8,13,20,10
"Yeshiva D'monsey Rabbinical College","NY","10952",2,25,25,
"Living Arts College","NC","27614-7076",5,38,39,33
"Eastern International College-Jersey City","NJ","07306",2,33,,33
"Pacific College","CA","92626",8,,,
"Embry-Riddle Aeronautical University-Worldwide","FL","32114-3900",5,19,18,22
"Strayer University-Maryland","MD","20746",2,22,17,33
"San Juan Bautista School of Medicine","PR","00725-4968",9,33,25,40
"Yeshiva of the Telshe Alumni","NY","10471-2897",2,67,67,
"Platt College-Ontario","CA","91764",8,,,
"American University of Health Sciences","CA","90755-3612",8,0,,0
"Career Networks Institute","CA","92705",8,,,
"Carolinas College of Health Sciences","NC","28217",5,,,
"Western Governors University","UT","84107",7,64,53,72
"California Aeronautical University","CA","93308",8,,,
"Herzing University-New Orleans","LA","70002",5,32,25,36
"Florida Gulf Coast University","FL","33965-6565",5,56,50,61
"Ilisagvik College","AK","99723",8,,,
"Dewey University-Carolina","PR","00986",9,13,13,13
"Yeshiva College of the Nations Capital","MD","20902",2,29,29,
"Los Angeles Film School","CA","90028-7318",8,44,45,40
"International Baptist College and Seminary","AZ","85286",6,67,67,
"University of Connecticut-Waterbury Campus","CT","06702",1,65,64,67
"University of Connecticut-Avery Point","CT","06340-6097",1,56,53,63
"University of Connecticut-Stamford","CT","06901-2315",1,58,53,66
"University of Management and Technology","VA","22209-1609",5,0,0,0
"Stratford University","VA","22314",5,100,100,100
"American InterContinental University-Atlanta","GA","30328",5,25,11,36
"Cascadia College","WA","98011-8205",8,,,
"CBD College","CA","90010",8,,,
"The King's University","TX","76092",6,31,33,29
"Pacific Islands University","GU","96913",9,25,0,33
"PCI College","CA","90703",8,,,
"Acupuncture and Massage College","FL","33176",5,,,
"New Saint Andrews College","ID","83843-1525",7,52,50,53
"Atenas College","PR","00674-0000",9,28,16,35
"Pillar College","NJ","07102",2,23,30,17
"Oregon State University-Cascades Campus","OR","97702",8,50,50,50
"Southern University Law Center","LA","70813",5,32,28,35
"Triad Education","CA","90010",8,71,83,67
"Universidad Pentecostal Mizpa","PR","00928",9,0,0,0
"Nevada State College","NV","89002",8,29,25,30
"California State University-Channel Islands","CA","93012",8,58,52,61
"Franklin W Olin College of Engineering","MA","02492-1200",1,97,95,100
"Pennsylvania College of Health Sciences","PA","17601",2,,,
"St Louis College of Health Careers-Fenton","MO","63026",4,,,
"Grantham University","KS","66219",4,22,26,19
"University of the Potomac-VA Campus","VA","22043-2536",5,57,80,0
"Pacific College of Health Science-Chicago","IL","60601",3,,,
"University of Antelope Valley","CA","93534",8,51,53,50
"Faith International University","WA","98407-0186",8,25,0,50
"Family of Faith Christian University","OK","74802",6,0,0,
"West Coast University-Los Angeles","CA","91606",8,83,100,80
"Williamson Christian College","TN","37067",5,0,0,0
"DigiPen Institute of Technology","WA","98052",8,57,54,65
"Dewey University-Hato Rey","PR","00910",9,6,5,6
"American College of Healthcare Sciences","OR","97239",8,,,
"Strayer University-Tennessee","TN","38118",5,0,0,0
"Strayer University-Pennsylvania","PA","19053",2,100,,100
"Brookline College-Albuquerque","NM","87105",6,33,33,
"Hussian College-Daymar College Murfreesboro","TN","37128",5,14,13,14
"ATI College-Whittier","CA","90603-0000",8,,,
"Baptist University of the Americas","TX","78224-1364",6,35,27,50
"Beis Medrash Heichal Dovid","NY","11691-4433",2,20,20,
"Charlotte Christian College and Theological Seminary","NC","28227-9446",5,0,0,
"Nightingale College","UT","84111",7,,,
"American InterContinental University","AZ","85286",6,8,4,11
"American InterContinental University-Houston","TX","77042",6,33,17,44
"University of California-Merced","CA","95343-5603",8,72,69,74
"Remington College-North Houston Campus","TX","77067",6,64,40,83
"Central Methodist University-College of Graduate and Extended Studies","MO","65248-1198",4,0,0,0
"Neumont College of Computer Science","UT","84111-1917",7,54,55,48
"Johnson & Wales University-Charlotte","NC","28202",5,36,35,36
"Ave Maria University","FL","34142-9505",5,61,52,69
"Ecclesia College","AR","72762",5,17,25,0
"Los Angeles College of Music","CA","91105",8,59,60,57
"Maple Springs Baptist Bible College and Seminary","MD","20743",2,100,100,100
"SAE Institute of Technology-Nashville","TN","37203",5,,,
"Stanbridge University","CA","92612",8,96,100,91
"Uta Mesivta of Kiryas Joel","NY","10950",2,66,66,
"Harrisburg University of Science and Technology","PA","17101-2208",2,32,22,42
"Daytona College","FL","32174-8445",5,,,
"United States University","CA","92108",8,0,0,0
"AmeriTech College-Draper","UT","84020-6545",7,100,100,100
"Eagle Gate College-Layton","UT","84041",7,40,0,44
"SAE Expression College","CA","94608",8,29,29,29
"Georgia Gwinnett College","GA","30043",5,21,16,25
"SUM Bible College and Theological Seminary","CA","95762",8,24,27,20
"Eastern International College-Belleville","NJ","07109",2,73,0,77
"Rasmussen University-Illinois","IL","61108-2513",3,,,
"Strayer University-Florida","FL","33610",5,14,17,0
"Dewey University-Juana Díaz","PR","00910",9,11,19,8
"American Public University System","WV","25414",5,41,42,38
"Huntsville Bible College","AL","35811-1632",5,,,
"Gnomon","CA","90038",8,,,
"Bais Medrash Toras Chesed","NJ","08701",2,39,39,
"Visible Music College","TN","38103",5,14,22,0
"University of the West","CA","91770",8,50,50,50
"South University-Tampa","FL","33614-7095",5,30,50,17
"Strayer University-Delaware","DE","19801",2,0,0,
"Rasmussen University-Wisconsin","WI","54303-2349",3,0,,0
"Columbia Southern University","AL","36561-9000",5,24,27,20
"Miami Regional University","FL","33166",5,0,0,0
"Yeshivas Be'er Yitzchok","NJ","07208",2,11,11,
"Yeshiva Toras Chaim","NJ","08701",2,13,13,
"Talmudical Seminary of Bobov","NY","11219",2,30,30,
"Southwest University at El Paso","TX","79925",6,61,70,56
"CEM College-Bayamon","PR","00961",9,43,0,60
"Bryant & Stratton College-Wauwatosa","WI","53226",3,,,
"The Art Institute of Austin","TX","78602",6,27,30,21
"Remington College-Shreveport Campus","LA","71101",5,53,50,55
"Patrick Henry College","VA","20132",5,71,61,86
"Galen College of Nursing-Cincinnati","OH","45241",3,,,
"Strayer University-North Carolina","NC","27407-2638",5,0,0,
"Strayer University-New Jersey","NJ","08854",2,0,,0
"The King's College","NY","10004",2,58,52,60
"Chamberlain University-Illinois","IL","60101",3,73,100,69
"Chamberlain University-Ohio","OH","43219",3,50,,50
"Chamberlain University-Arizona","AZ","85021",6,67,,67
"Institute of Production and Recording","MN","55401",4,,,
"Laurus College","CA","93401",8,,,
"Yeshiva of Machzikai Hadas","NY","11219-1408",2,47,47,
"Providence Christian College","CA","91101",8,42,59,32
"Polytechnic University of Puerto Rico-Orlando","FL","32825",5,50,100,0
"University of Minnesota-Rochester","MN","55904",4,47,43,48
"Chamberlain University-Florida","FL","32256",5,0,,0
"Horizon University","IN","46236-2622",3,100,100,
"Angeles College","CA","90010",8,50,100,0
"Pacific Rim Christian University","HI","96819-2228",8,57,67,50
"American Business and Technology University","MO","64506",4,86,83,100
"Ascent College","VA","23666",5,0,0,
"West Coast University-Orange County","CA","92802",8,50,83,33
"West Coast University-Ontario","CA","91761",8,50,33,57
"The Art Institute of Virginia Beach","VA","23462",5,37,31,43
"Strayer University-Georgia","GA","30341",5,9,17,0
"Strayer University-South Carolina","SC","29607",5,0,,0
"Strayer University-Texas","TX","75234",6,17,25,0
"The Art Institute of San Antonio","TX","78230",6,24,17,32
"Unitek College","CA","94538",8,,,
"Gurnick Academy of Medical Arts","CA","94403",8,,,
"South University-Richmond","VA","23060",5,7,,7
"South University-Virginia Beach","VA","23452",5,0,0,0
"Compass College of Film and Media","MI","49503",3,73,65,86
"Touro University Worldwide","CA","90720",8,58,100,50
"Herzing University-Kenosha","WI","53140",3,44,0,57
"Herzing University-Brookfield","WI","53005",3,40,33,50
"Strayer University-Global Region","DC","20005",2,30,14,67
"Johnson & Wales University-Online","RI","02903",1,0,0,
"Fairfax University of America","VA","22030-0000",5,17,33,0
"Chamberlain University-Virginia","VA","22182",5,25,100,0
"National Paralegal College","AZ","85014-1561",6,9,0,11
"Carolina College of Biblical Studies","NC","28303-5157",5,100,,100
"New York Film Academy","CA","91505",8,58,54,64
"American Medical Sciences Center","CA","91204-5108",8,,,
"Manna University","NC","28314-2343",5,50,50,
"Simmons College of Kentucky","KY","40203-3322",5,43,50,0
"North American University","TX","77477-0000",6,29,25,38
"Keser Torah-Mayan Hatalmud","NJ","08701-2758",2,0,0,
"Millennia Atlantic University","FL","33178-2369",5,,,
"John Paul the Great Catholic University","CA","92025",8,62,58,67
"University of Connecticut-Hartford Campus","CT","06103",1,65,58,72
"Chamberlain University-Missouri","MO","63146",4,75,100,50
"Chamberlain University-Texas","TX","77041",6,0,,0
"Dewey University-Manati","PR","00674-0000",9,6,6,6
"Los Angeles Pacific University","CA","91773-1741",8,45,67,38
"South University-Savannah Online","GA","31406",5,4,3,5
"Criswell College","TX","75246-1537",6,43,40,50
"Beverly Hills Design Institute","CA","90211",8,,,
"American Medical Academy","FL","33186-4830",5,,,
"Chamberlain University-Georgia","GA","30342",5,40,,40
"Chamberlain University-Indiana","IN","46240",3,0,,0
"Sessions College for Professional Design","AZ","85281",6,,,
"Bais HaMedrash and Mesivta of Baltimore","MD","21209-1613",2,55,55,
"Yeshiva Gedolah Zichron Leyma","NJ","07083-3618",2,0,0,
"Be'er Yaakov Talmudic Seminary","NY","10977",2,57,57,
"South University-Austin","TX","78681-2300",6,20,0,25
"Bryant & Stratton College-Online","NY","14127",2,0,0,0
"Warner Pacific University Professional and Graduate Studies","OR","97215",8,100,100,
"Platt College-Riverside","CA","92507",8,,,
"Rasmussen University-Kansas","KS","66606",4,,,
"California Miramar University","CA","92108",8,39,41,0
"Midwives College of Utah","UT","84106",7,0,,0
"Grace Mission University","CA","92833-3860",8,44,0,57
"Mid-South Christian College","TN","38118-3151",5,100,,100
"Grace School of Theology","TX","77384-4894",6,0,0,
"Yeshiva Gedolah Kesser Torah","NY","10952-2127",2,39,39,
"Yeshiva Yesodei Hatorah","NJ","08701-4946",2,18,18,
"South University-High Point","NC","27265-8320",5,18,17,20
"Augusta University","GA","30912",5,50,42,55
"Middle Georgia State University","GA","31206",5,26,27,25
"Veritas Baptist College","IN","47025",3,33,25,50
"DeVry College of New York","NY","10016",2,32,31,33
"DeVry University-Arizona","AZ","85021",6,30,21,50
"DeVry University-California","CA","91764",8,9,6,12
"DeVry University-Colorado","CO","80234",7,75,67,100
"DeVry University-Florida","FL","33027",5,21,29,14
"DeVry University-Georgia","GA","30030",5,11,9,12
"DeVry University-Illinois","IL","60563",3,32,32,31
"DeVry University-Indiana","IN","46410",3,0,0,
"DeVry University-Missouri","MO","64131",4,67,67,
"DeVry University-Nevada","NV","89074",8,0,0,
"DeVry University-New Jersey","NJ","08830",2,12,16,0
"DeVry University-North Carolina","NC","28273",5,0,0,0
"DeVry University-Ohio","OH","43219",3,17,16,20
"DeVry University-Pennsylvania","PA","19034",2,30,43,0
"DeVry University-Tennessee","TN","37211",5,20,50,0
"DeVry University-Texas","TX","75063",6,25,14,100
"DeVry University-Virginia","VA","22202",5,0,0,0
"University of North Georgia","GA","30597",5,46,40,50
"South Georgia State College","GA","31533",5,,,
"Florida Polytechnic University","FL","33805-8531",5,56,55,59
"Antioch College","OH","45387",3,32,43,29
"Arizona State University Digital Immersion","AZ","85257",6,26,25,26
"Integrity College of Health","CA","91104",8,,,
"IGlobal University","VA","22182-2734",5,28,33,22
"University of Florida-Online","FL","32611",5,44,23,57
"University of Phoenix-Arizona","AZ","85040",6,9,8,9
"University of Phoenix-California","CA","91761",8,19,20,18
"University of Phoenix-Nevada","NV","89135",8,17,0,20
"University of Phoenix-Texas","TX","77079",6,18,6,31
"CEM College-Mayaguez","PR","00680-0000",9,58,33,71
"Minerva University","CA","94103",8,81,75,88
"Rabbinical College Ohr Yisroel","NY","11236",2,48,48,
"University of North Texas at Dallas","TX","75241",6,37,25,42
"Georgia Military College","GA","31061",5,,,
"West Coast University-Miami","FL","33178-2431",5,0,,0
"Lionel University","CA","93013-2912",8,,,
"California Intercontinental University","CA","92614",8,100,100,100
"American College of the Building Arts","SC","29403-4223",5,46,43,67
"Atlantis University","FL","33132",5,78,73,86
"Bet Medrash Gadol Ateret Torah","NY","11223-1933",2,23,23,
"Yeshiva Ohr Yisrael","NY","11229",2,0,0,
"Yeshiva Sholom Shachna","NY","11230",2,18,18,
"Bethlehem College & Seminary","MN","55415-1793",4,61,64,58
"Beth Medrash Meor Yitzchok","NY","10952-4023",2,0,0,
"San Ignacio University","FL","33178-2350",5,100,100,100
"Valor Christian College","OH","43110",3,,,
"Bethany Global University","MN","55438-2849",4,56,50,57
"United International College","FL","33025-3943",5,100,100,
"California Jazz Conservatory","CA","94704-1268",8,100,100,
"Kennesaw State University","GA","30144",5,49,44,53
"Milligan University","TN","37682",5,70,58,79
"Chamberlain University-Nevada","NV","89144",8,0,,0
"Chamberlain University-New Jersey","NJ","08902",2,100,,100
"Hussian College-Los Angeles","CA","90017-2019",8,49,33,60
"Husson University","ME","04401-2929",1,54,46,62
"Northwest University-Center for Online and Extended Education","WA","98033",8,40,42,38
"Yeshiva Zichron Aryeh","NY","11691-0000",2,60,60,
"Yeshivas Maharit D'Satmar","NY","10950",2,46,46,
"Elim Bible Institute and College","NY","14485-9704",2,,,
"Beth Medrash of Asbury Park","NJ","08701-5842",2,0,0,
"Yeshiva Gedolah Shaarei Shmuel","NJ","08701-3623",2,18,18,
"Seattle Film Institute","WA","98119-1707",8,,,
"Indiana Wesleyan University-National & Global","IN","46953",3,,,
"University of the People","CA","91101",8,13,14,12
"Purdue University Global","IN","47906",3,30,29,30
"Carolina University","NC","27101",5,46,54,38
"Presbyterian Theological Seminary in America","CA","90670-5611",8,100,100,100
"HCI College","FL","33409-5189",5,,,
"Westcliff University","CA","92614",8,67,62,81
"Yeshiva Shaar Ephraim","NY","10952-2732",2,17,17,
"Yeshiva Bais Aharon","NJ","08701-2053",2,4,4,
"Bais Medrash Mayan Hatorah","NJ","08701",2,13,13,
"Purdue University Northwest","IN","46323",3,40,40,41
"Yeshiva Kollel Tifereth Elizer","NY","11219",2,7,7,
"Union Bible College","IN","46074-0900",3,38,50,0
"Yeshiva Gedolah Tiferes Boruch","NJ","07060-0000",2,0,0,
"Yeshiva Chemdas Hatorah","NJ","08701-4618",2,38,38,
"Women's Institute of Torah Seminary and College","MD","21215-3009",2,50,,50
"Yeshiva Gedolah Keren Hatorah","NJ","08701-1239",2,5,5,
"Yeshiva Gedolah of Cliffwood","NJ","07735-5105",2,8,8,
"Yeshivas Emek Hatorah","NJ","07731-2444",2,4,4,
"Yeshiva Gedola Tiferes Yerachmiel","NJ","08701-0000",2,0,0,
"Drury University-College of Continuing Professional Studies","MO","65802",4,26,25,26
"Indiana Institute of Technology-College of Professional Studies","IN","46803",3,10,13,9
"Yeshiva of Ocean","NY","12435-5308",2,13,13,
"Yeshivat Hechal Shemuel","NY","11230-0000",2,0,0,
"Yeshiva Gedolah of Woodlake Village","NJ","08701-0000",2,5,5,
"Yeshiva Gedola Tiferes Yaakov Yitzchok","NJ","08701-5502",2,24,24,
"Faith Theological Seminary and Christian College","FL","33615",5,33,29,38
"Southwestern Baptist Theological Seminary","TX","76115",6,29,24,38
"Christ Mission College","TX","78254-1000",6,50,0,67
"Urshan College","MO","63385",4,31,14,44
"Indian Bible College","AZ","86004-1919",6,50,50,
"The Pennsylvania State University","PA","16802-1503",2,73,70,76
"California Northstate University","CA","95757-3001",8,100,100,
"Antigua College International","FL","33016-1511",5,51,33,58
"Lakewood University","OH","44112-3044",3,,,
