"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Associated Beth Rivkah Schools","NY","11225-0000",2,,,
"Bard College","NY","12504-5000",2,71,68,72
"Barnard College","NY","10027-6598",2,93,,93
"Berkeley College-New York","NY","10017",2,31,28,34
"Beth Hamedrash Shaarei Yosher Institute","NY","11204",2,0,0,
"Phillips School of Nursing at Mount Sinai Beth Israel","NY","10035-6354",2,,,
"Boricua College","NY","10032-1560",2,58,36,66
"Bryant & Stratton College-Syracuse North","NY","13090",2,,,
"Bryant & Stratton College-Buffalo","NY","14203",2,,,
"Bryant & Stratton College-Greece","NY","14612",2,,,
"Canisius College","NY","14208-1098",2,71,73,69
"Cazenovia College","NY","13035",2,50,48,51
"Central Yeshiva Tomchei Tmimim Lubavitz","NY","11230-2798",2,18,18,
"Clarkson University","NY","13699",2,76,73,81
"Colgate University","NY","13346-1398",2,90,89,92
"Metropolitan College of New York","NY","10006-1742",2,23,19,26
"Columbia University in the City of New York","NY","10027",2,95,95,95
"Cooper Union for the Advancement of Science and Art","NY","10003-7120",2,83,80,91
"Cornell University","NY","14853",2,94,93,95
"Culinary Institute of America","NY","12538-1499",2,,,
"CUNY Bernard M Baruch College","NY","10010",2,74,69,79
"CUNY Brooklyn College","NY","11210",2,56,48,64
"College of Staten Island CUNY","NY","10314",2,49,42,56
"CUNY City College","NY","10031",2,57,51,64
"CUNY Hunter College","NY","10065",2,58,50,63
"CUNY John Jay College of Criminal Justice","NY","10019",2,54,51,57
"CUNY Lehman College","NY","10468",2,53,47,57
"CUNY Medgar Evers College","NY","11225",2,30,24,33
"CUNY New York City College of Technology","NY","11201",2,30,27,43
"CUNY Queens College","NY","11367",2,55,43,66
"CUNY York College","NY","11451",2,33,28,36
"D'Youville College","NY","14201-1084",2,59,54,60
"Daemen University","NY","14226-3592",2,57,52,60
"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","NY","11691-5219",2,9,9,
"Dominican College of Blauvelt","NY","10962-1210",2,44,32,51
"Elmira College","NY","14901",2,63,47,72
"Fashion Institute of Technology","NY","10001-5992",2,,,
"Five Towns College","NY","11746-5871",2,42,46,30
"Fordham University","NY","10458",2,83,83,83
"Hamilton College","NY","13323",2,92,91,92
"Hartwick College","NY","13820-4020",2,57,52,61
